"line","negative","positive","sentiment"
1,23,2,-17
2,10,5,5
3,13,7,8
4,16,4,-4
5,17,1,-14
6,18,8,6
7,13,1,-10
8,13,3,-4
9,12,5,3
10,19,4,-7
11,15,8,9
12,18,3,-9
13,16,6,2
14,13,8,11
15,14,4,-2
16,11,5,4
17,24,7,-3
18,10,5,5
19,19,7,2
20,17,6,1
21,19,1,-16
22,15,6,3
23,11,3,-2
24,8,3,1
25,11,3,-2
26,18,3,-9
27,17,3,-8
28,13,1,-10
29,17,2,-11
30,14,3,-5
31,14,5,1
32,15,3,-6
33,14,2,-8
34,11,3,-2
35,15,2,-9
36,13,5,2
37,12,5,3
38,22,4,-10
39,12,3,-3
40,16,3,-7
41,9,2,-3
42,11,3,-2
43,18,4,-6
44,21,4,-9
45,14,3,-5
46,13,4,-1
47,14,5,1
48,16,4,-4
49,14,4,-2
50,14,6,4
51,12,6,6
52,20,10,10
53,19,3,-10
54,21,8,3
55,27,5,-12
56,22,6,-4
57,14,2,-8
58,14,6,4
59,21,1,-18
60,19,0,-19
61,13,3,-4
62,14,4,-2
63,8,7,13
64,16,5,-1
65,15,6,3
66,14,2,-8
67,18,4,-6
68,22,4,-10
69,16,3,-7
70,10,3,-1
71,12,4,0
72,14,4,-2
73,5,4,7
74,11,4,1
75,17,5,-2
76,20,3,-11
77,19,2,-13
78,12,2,-6
79,11,4,1
80,10,4,2
81,20,4,-8
82,21,7,0
83,12,4,0
84,17,2,-11
85,17,2,-11
86,25,6,-7
87,18,6,0
88,20,2,-14
89,24,1,-21
90,10,2,-4
91,20,2,-14
92,16,4,-4
93,17,5,-2
94,11,4,1
95,26,3,-17
96,10,5,5
97,10,4,2
98,12,3,-3
99,14,4,-2
100,27,8,-3
101,15,6,3
102,11,5,4
103,18,4,-6
104,15,4,-3
105,18,4,-6
106,18,1,-15
107,10,2,-4
108,13,4,-1
109,15,5,0
110,23,4,-11
111,14,5,1
112,26,4,-14
113,22,4,-10
114,20,3,-11
115,18,5,-3
116,21,4,-9
117,24,3,-15
118,19,5,-4
119,15,7,6
120,9,3,0
121,15,2,-9
122,17,5,-2
123,25,9,2
124,17,5,-2
125,22,4,-10
126,22,5,-7
127,18,2,-12
128,16,5,-1
129,20,4,-8
130,12,1,-9
131,21,3,-12
132,19,2,-13
133,14,1,-11
134,16,7,5
135,26,2,-20
136,11,7,10
137,22,8,2
138,22,2,-16
139,19,7,2
140,12,4,0
141,15,2,-9
142,13,4,-1
143,13,3,-4
144,26,2,-20
145,23,6,-5
146,13,8,11
147,15,3,-6
148,25,1,-22
149,18,5,-3
150,11,6,7
151,13,6,5
152,18,4,-6
153,21,6,-3
154,18,4,-6
155,24,6,-6
156,17,9,10
157,26,3,-17
158,29,3,-20
159,18,3,-9
160,16,5,-1
161,13,1,-10
162,21,2,-15
163,11,4,1
164,18,4,-6
165,16,6,2
166,24,2,-18
167,20,4,-8
168,14,5,1
169,22,3,-13
170,11,1,-8
171,19,6,-1
172,19,4,-7
173,29,4,-17
174,24,9,3
175,20,7,1
176,21,9,6
177,11,6,7
178,17,10,13
179,22,3,-13
180,9,5,6
181,20,7,1
182,11,5,4
183,15,1,-12
184,26,8,-2
185,21,3,-12
186,25,4,-13
187,18,8,6
188,11,3,-2
189,22,7,-1
190,17,6,1
191,18,10,12
192,25,11,8
193,18,3,-9
194,12,8,12
195,17,5,-2
196,11,6,7
197,24,2,-18
198,17,2,-11
199,27,3,-18
200,19,5,-4
201,20,9,7
202,13,6,5
203,21,4,-9
204,15,4,-3
205,22,9,5
206,16,4,-4
207,16,6,2
208,13,7,8
209,16,7,5
210,20,4,-8
211,15,5,0
212,20,15,25
213,13,6,5
214,21,5,-6
215,17,7,4
216,19,8,5
217,23,14,19
218,29,7,-8
219,14,9,13
220,21,9,6
221,21,2,-15
222,19,8,5
223,17,4,-5
224,12,2,-6
225,19,8,5
226,15,7,6
227,10,3,-1
228,25,4,-13
229,20,3,-11
230,35,8,-11
231,23,3,-14
232,26,4,-14
233,22,3,-13
234,21,2,-15
235,18,0,-18
236,19,6,-1
237,18,5,-3
238,18,9,9
239,21,2,-15
240,16,7,5
241,16,2,-10
242,14,3,-5
243,24,6,-6
244,27,5,-12
245,37,4,-25
246,30,3,-21
247,23,7,-2
248,31,6,-13
249,11,7,10
250,13,7,8
251,15,7,6
252,22,8,2
253,28,2,-22
254,20,4,-8
255,10,6,8
256,21,2,-15
257,17,7,4
258,28,8,-4
259,18,6,0
260,25,9,2
261,13,9,14
262,29,12,7
263,18,5,-3
264,19,4,-7
265,20,4,-8
266,32,4,-20
267,22,6,-4
268,16,6,2
269,17,10,13
270,17,7,4
271,21,7,0
272,20,6,-2
273,21,6,-3
274,22,6,-4
275,17,10,13
276,14,9,13
277,33,18,21
278,16,8,8
279,15,10,15
280,28,7,-7
281,21,4,-9
282,13,7,8
283,16,7,5
284,25,8,-1
285,23,8,1
286,18,11,15
287,17,7,4
288,26,4,-14
289,18,7,3
290,17,8,7
291,20,6,-2
292,20,10,10
293,18,11,15
294,28,7,-7
295,19,9,8
296,25,12,11
297,19,4,-7
298,27,8,-3
299,17,4,-5
300,20,10,10
301,22,9,5
302,24,6,-6
303,9,13,30
304,18,6,0
305,16,7,5
306,23,10,7
307,24,9,3
308,33,11,0
309,26,13,13
310,18,5,-3
311,19,8,5
312,16,11,17
313,25,3,-16
314,12,6,6
315,20,6,-2
316,20,5,-5
317,17,8,7
318,18,11,15
319,30,10,0
320,17,4,-5
321,19,10,11
322,17,5,-2
323,19,6,-1
324,15,5,0
325,27,6,-9
326,22,4,-10
327,33,2,-27
328,21,6,-3
329,22,5,-7
330,16,9,11
331,29,11,4
332,21,12,15
333,28,5,-13
334,21,7,0
335,17,2,-11
336,20,4,-8
337,21,7,0
338,11,6,7
339,21,7,0
340,17,5,-2
341,23,6,-5
342,27,3,-18
343,22,4,-10
344,34,7,-13
345,25,5,-10
346,18,4,-6
347,28,12,8
348,19,5,-4
349,17,8,7
350,21,15,24
351,16,7,5
352,28,7,-7
353,21,5,-6
354,26,7,-5
355,22,4,-10
356,18,10,12
357,27,8,-3
358,27,6,-9
359,24,10,6
360,25,2,-19
361,28,6,-10
362,28,8,-4
363,14,6,4
364,22,2,-16
365,10,4,2
366,24,8,0
367,26,9,1
368,22,2,-16
369,26,3,-17
370,17,4,-5
371,27,4,-15
372,19,6,-1
373,22,4,-10
374,22,7,-1
375,19,7,2
376,29,7,-8
377,17,8,7
378,25,2,-19
379,25,7,-4
380,23,7,-2
381,22,6,-4
382,14,8,10
383,25,3,-16
384,20,6,-2
385,15,3,-6
386,24,5,-9
387,13,6,5
388,24,9,3
389,25,7,-4
390,9,8,15
391,10,3,-1
392,31,6,-13
